name,adres,website,telefoon,reviews_count,reviews_average,latitude,longitude,search_keyword
Samenwerkende Tandartsen Nijmegen - de Tandarts,N/A,nijmegendetandarts.nl,N/A,80,4.2,51.8395623,5.7360171,"Nederland, Nijmegen-Noord, Dental Offices"
Dental Design & Styling,N/A,dental-styling.nl,N/A,18,4.2,51.8395623,5.7360171,"Nederland, Nijmegen-Noord, Dental Offices"
Unknown,N/A,N/A,N/A,0,0.0,51.8395623,5.7360171,"Nederland, Nijmegen-Noord, Auto Repair Shops"
Bosch Car Service - Wijnne,N/A,wijnne.nl,N/A,98,4.2,51.8395047,5.736017,"Nederland, Nijmegen-Noord, Auto Repair Shops"
Auto Service Portaal,N/A,autoserviceportaal.nl,N/A,77,4.8,51.843184,5.660086,"Nederland, Nijmegen-Noord, Auto Repair Shops"
Erciyes Car Service,N/A,erciyescarservice.nl,N/A,122,4.1,51.843184,5.660086,"Nederland, Nijmegen-Noord, Auto Repair Shops"
Unknown,N/A,N/A,N/A,40,0.0,51.843184,5.660086,"Nederland, Nijmegen-Oost, Dental Offices"
Mondzorg Oost,N/A,mondzorgoost.nl,N/A,40,4.3,51.8431264,5.6600859,"Nederland, Nijmegen-Oost, Dental Offices"
Tandarts Smile,N/A,tandartssmile.nl,N/A,36,5.0,51.8413894,5.7327123,"Nederland, Nijmegen-Oost, Dental Offices"
Unknown,N/A,N/A,N/A,0,0.0,51.8413318,5.7327122,"Nederland, Nijmegen-Oost, Auto Repair Shops"
Garage van Ottele,N/A,garagevanottele.nl,N/A,131,4.7,51.843184,5.660086,"Nederland, Nijmegen-Oost, Auto Repair Shops"
Unknown,N/A,N/A,N/A,18,0.0,51.8431264,5.6600859,"Nederland, Nijmegen-Oud-West, Dental Offices"
Dental Design & Styling,N/A,dental-styling.nl,N/A,18,4.2,51.8431264,5.6600859,"Nederland, Nijmegen-Oud-West, Dental Offices"
Tandarts praktijk Villa Westhof Nijmegen Oost,N/A,tandartsnijmegenoost.nl,N/A,37,4.8,51.8431264,5.6600859,"Nederland, Nijmegen-Oud-West, Dental Offices"
Tandartspraktijk O.G.H. Bosch,N/A,tandartsbosch-nijmegen.nl,N/A,34,3.6,51.8377309,5.7386265,"Nederland, Nijmegen-Oud-West, Dental Offices"
Unknown,N/A,N/A,N/A,0,0.0,51.8376733,5.7386264,"Nederland, Nijmegen-Oud-West, Auto Repair Shops"
Bosch Car Service - Wijnne,N/A,wijnne.nl,N/A,98,4.2,51.843184,5.660086,"Nederland, Nijmegen-Oud-West, Auto Repair Shops"
Bosch Car Service - Wijnne,N/A,garagevanottele.nl,N/A,131,4.7,51.843184,5.660086,"Nederland, Nijmegen-Oud-West, Auto Repair Shops"
Erciyes Car Service,N/A,erciyescarservice.nl,N/A,3,5.0,51.843184,5.660086,"Nederland, Nijmegen-Oud-West, Auto Repair Shops"
Unknown,N/A,N/A,N/A,80,4.2,51.8431264,5.6600859,"Nederland, Nijmegen-Zuid, Dental Offices"
Samenwerkende Tandartsen Nijmegen - de Tandarts,N/A,nijmegendetandarts.nl,N/A,80,4.2,51.8431264,5.6600859,"Nederland, Nijmegen-Zuid, Dental Offices"
Samenwerkende Tandartsen Nijmegen - de Tandarts,N/A,dental-styling.nl,N/A,18,4.2,51.8431264,5.6600859,"Nederland, Nijmegen-Zuid, Dental Offices"
Eerste Gezamenlijke Tandartsenpraktijk Nijmegen,N/A,gtptandarts-nijmegen.nl,N/A,9,4.1,51.8431264,5.6600859,"Nederland, Nijmegen-Zuid, Dental Offices"
Tandartspraktijk O.G.H. Bosch,N/A,tandartsbosch-nijmegen.nl,N/A,34,3.6,51.8431264,5.6600859,"Nederland, Nijmegen-Zuid, Dental Offices"
Unknown,N/A,N/A,N/A,0,0.0,51.8431264,5.6600859,"Nederland, Nijmegen-Zuid, Auto Repair Shops"
Autobedrijf Lammerts,N/A,autobedrijflammerts.nl,N/A,100,4.0,51.8430689,5.6600857,"Nederland, Nijmegen-Zuid, Auto Repair Shops"
Autobedrijf Lammerts,N/A,garagevanottele.nl,N/A,131,4.7,51.8430689,5.6600857,"Nederland, Nijmegen-Zuid, Auto Repair Shops"
